month,column,data_type,nullable,schema_signature
2025-06,passenger_count,bigint,True,0122e1e718eadab0
2025-06,trip_distance,double,True,0122e1e718eadab0
2025-06,RatecodeID,bigint,True,0122e1e718eadab0
2025-06,store_and_fwd_flag,string,True,0122e1e718eadab0
2025-06,PULocationID,int,True,0122e1e718eadab0
2025-06,DOLocationID,int,True,0122e1e718eadab0
2025-06,payment_type,bigint,True,0122e1e718eadab0
2025-06,fare_amount,double,True,0122e1e718eadab0
2025-06,extra,double,True,0122e1e718eadab0
2025-06,mta_tax,double,True,0122e1e718eadab0
2025-06,tip_amount,double,True,0122e1e718eadab0
2025-06,tolls_amount,double,True,0122e1e718eadab0
2025-06,improvement_surcharge,double,True,0122e1e718eadab0
2025-06,total_amount,double,True,0122e1e718eadab0
2025-06,congestion_surcharge,double,True,0122e1e718eadab0
2025-06,Airport_fee,double,True,0122e1e718eadab0
2025-06,cbd_congestion_fee,double,True,0122e1e718eadab0
2025-07,VendorID,int,True,0122e1e718eadab0
2025-07,tpep_pickup_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-07,tpep_dropoff_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-07,passenger_count,bigint,True,0122e1e718eadab0
2025-07,trip_distance,double,True,0122e1e718eadab0
2025-07,RatecodeID,bigint,True,0122e1e718eadab0
2025-07,store_and_fwd_flag,string,True,0122e1e718eadab0
2025-07,PULocationID,int,True,0122e1e718eadab0
2025-07,DOLocationID,int,True,0122e1e718eadab0
2025-07,payment_type,bigint,True,0122e1e718eadab0
2025-07,fare_amount,double,True,0122e1e718eadab0
2025-07,extra,double,True,0122e1e718eadab0
2025-07,mta_tax,double,True,0122e1e718eadab0
2025-07,tip_amount,double,True,0122e1e718eadab0
2025-07,tolls_amount,double,True,0122e1e718eadab0
2025-07,improvement_surcharge,double,True,0122e1e718eadab0
2025-07,total_amount,double,True,0122e1e718eadab0
2025-07,congestion_surcharge,double,True,0122e1e718eadab0
2025-07,Airport_fee,double,True,0122e1e718eadab0
2025-07,cbd_congestion_fee,double,True,0122e1e718eadab0
2025-08,VendorID,int,True,0122e1e718eadab0
2025-08,tpep_pickup_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-08,tpep_dropoff_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-08,passenger_count,bigint,True,0122e1e718eadab0
2025-08,trip_distance,double,True,0122e1e718eadab0
2025-08,RatecodeID,bigint,True,0122e1e718eadab0
2025-08,store_and_fwd_flag,string,True,0122e1e718eadab0
2025-08,PULocationID,int,True,0122e1e718eadab0
2025-08,DOLocationID,int,True,0122e1e718eadab0
2025-08,payment_type,bigint,True,0122e1e718eadab0
2025-08,fare_amount,double,True,0122e1e718eadab0
2025-08,extra,double,True,0122e1e718eadab0
2025-08,mta_tax,double,True,0122e1e718eadab0
2025-08,tip_amount,double,True,0122e1e718eadab0
2025-08,tolls_amount,double,True,0122e1e718eadab0
2025-08,improvement_surcharge,double,True,0122e1e718eadab0
2025-08,total_amount,double,True,0122e1e718eadab0
2025-08,congestion_surcharge,double,True,0122e1e718eadab0
2025-08,Airport_fee,double,True,0122e1e718eadab0
2025-08,cbd_congestion_fee,double,True,0122e1e718eadab0
2025-09,VendorID,int,True,0122e1e718eadab0
2025-09,tpep_pickup_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-09,tpep_dropoff_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-09,passenger_count,bigint,True,0122e1e718eadab0
2025-09,trip_distance,double,True,0122e1e718eadab0
2025-09,RatecodeID,bigint,True,0122e1e718eadab0
2025-09,store_and_fwd_flag,string,True,0122e1e718eadab0
2025-09,PULocationID,int,True,0122e1e718eadab0
2025-09,DOLocationID,int,True,0122e1e718eadab0
2025-09,payment_type,bigint,True,0122e1e718eadab0
2025-09,fare_amount,double,True,0122e1e718eadab0
2025-09,extra,double,True,0122e1e718eadab0
2025-09,mta_tax,double,True,0122e1e718eadab0
2025-09,tip_amount,double,True,0122e1e718eadab0
2025-09,tolls_amount,double,True,0122e1e718eadab0
2025-09,improvement_surcharge,double,True,0122e1e718eadab0
2025-09,total_amount,double,True,0122e1e718eadab0
2025-09,congestion_surcharge,double,True,0122e1e718eadab0
2025-09,Airport_fee,double,True,0122e1e718eadab0
2025-09,cbd_congestion_fee,double,True,0122e1e718eadab0
2025-10,VendorID,int,True,0122e1e718eadab0
2025-10,tpep_pickup_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-10,tpep_dropoff_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-10,passenger_count,bigint,True,0122e1e718eadab0
2025-10,trip_distance,double,True,0122e1e718eadab0
2025-10,RatecodeID,bigint,True,0122e1e718eadab0
2025-10,store_and_fwd_flag,string,True,0122e1e718eadab0
2025-10,PULocationID,int,True,0122e1e718eadab0
2025-10,DOLocationID,int,True,0122e1e718eadab0
2025-10,payment_type,bigint,True,0122e1e718eadab0
2025-10,fare_amount,double,True,0122e1e718eadab0
2025-10,extra,double,True,0122e1e718eadab0
2025-10,mta_tax,double,True,0122e1e718eadab0
2025-10,tip_amount,double,True,0122e1e718eadab0
2025-10,tolls_amount,double,True,0122e1e718eadab0
2025-10,improvement_surcharge,double,True,0122e1e718eadab0
2025-10,total_amount,double,True,0122e1e718eadab0
2025-10,congestion_surcharge,double,True,0122e1e718eadab0
2025-10,Airport_fee,double,True,0122e1e718eadab0
2025-10,cbd_congestion_fee,double,True,0122e1e718eadab0
2025-11,VendorID,int,True,0122e1e718eadab0
2025-11,tpep_pickup_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-11,tpep_dropoff_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-11,passenger_count,bigint,True,0122e1e718eadab0
2025-11,trip_distance,double,True,0122e1e718eadab0
2025-11,RatecodeID,bigint,True,0122e1e718eadab0
2025-11,store_and_fwd_flag,string,True,0122e1e718eadab0
2025-11,PULocationID,int,True,0122e1e718eadab0
2025-11,DOLocationID,int,True,0122e1e718eadab0
2025-11,payment_type,bigint,True,0122e1e718eadab0
2025-11,fare_amount,double,True,0122e1e718eadab0
2025-11,extra,double,True,0122e1e718eadab0
2025-11,mta_tax,double,True,0122e1e718eadab0
2025-11,tip_amount,double,True,0122e1e718eadab0
2025-11,tolls_amount,double,True,0122e1e718eadab0
2025-11,improvement_surcharge,double,True,0122e1e718eadab0
2025-11,total_amount,double,True,0122e1e718eadab0
2025-11,congestion_surcharge,double,True,0122e1e718eadab0
2025-11,Airport_fee,double,True,0122e1e718eadab0
2025-11,cbd_congestion_fee,double,True,0122e1e718eadab0
2025-12,VendorID,int,True,0122e1e718eadab0
2025-12,tpep_pickup_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-12,tpep_dropoff_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-12,passenger_count,bigint,True,0122e1e718eadab0
2025-12,trip_distance,double,True,0122e1e718eadab0
2025-12,RatecodeID,bigint,True,0122e1e718eadab0
2025-12,store_and_fwd_flag,string,True,0122e1e718eadab0
2025-12,PULocationID,int,True,0122e1e718eadab0
2025-12,DOLocationID,int,True,0122e1e718eadab0
2025-12,payment_type,bigint,True,0122e1e718eadab0
2025-12,fare_amount,double,True,0122e1e718eadab0
2025-12,extra,double,True,0122e1e718eadab0
2025-12,mta_tax,double,True,0122e1e718eadab0
2025-12,tip_amount,double,True,0122e1e718eadab0
2025-12,tolls_amount,double,True,0122e1e718eadab0
2025-12,improvement_surcharge,double,True,0122e1e718eadab0
2025-12,total_amount,double,True,0122e1e718eadab0
2025-12,congestion_surcharge,double,True,0122e1e718eadab0
2025-12,Airport_fee,double,True,0122e1e718eadab0
2025-12,cbd_congestion_fee,double,True,0122e1e718eadab0
